OBJECTID,DATE,PERIOD,PERLEN,EXCHID,NLAPAG1LOTOT,NLAPAG2LOTOT,NLAPAG1RESUCC,NLAPAG2RESUCC,NLAPAGERR,NLALOCSSRFLT,NLALOCTOT,NLALOCSUCC,NLALOCPRRFLT,NLALNOTOT,NLALNOSUCC,NLALNNTOT,NLALNNSUCC,NLALIOTOT,NLALIOSUCC,NLALPETOT,NLALPESUCC,NLAL2ONTOT,NLAL2NOSUCC,NLAL2IOTOT,NLAL2OISUCC,NLLALOCTOT,NLLALNOTOT,NLLALNNTOT,NLLALIOTOT,NLLALPETOT,NLLAREGSUB,NLLAATTSUB,NLLAGPRSATTSUB,NLASATSGS
4600021917,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1555,131,1417,15,12,0,12216,11250,0,8689,8673,1276,341,407,402,1823,1822,0,0,0,0,0,0,0,0,0,34049,32756,0,27375
4600021915,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,2168,363,1800,18,10,0,13470,12094,0,8871,8833,1758,515,788,729,2007,2007,0,0,0,0,0,0,0,0,0,20773,19618,0,13511
4600021918,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1668,265,1398,21,8,0,12716,11938,0,8729,8706,994,296,842,793,2127,2125,0,0,0,0,0,0,0,0,0,33498,32029,0,25812
4600021916,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1196,224,971,18,9,0,7831,6925,0,5594,5557,1029,169,229,224,967,967,0,0,0,0,0,0,0,0,0,12276,11519,0,8158
4600021908,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,2117,101,2009,22,5,0,12373,10447,0,7715,7627,2005,179,667,659,1946,1945,0,0,0,0,0,0,0,0,0,41957,39927,0,33693
4600054771,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,2109,123,1986,16,9,0,14287,12915,0,8864,8782,1848,568,898,895,2647,2646,0,0,0,0,0,0,0,0,0,41670,39967,0,32100
4600021905,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,2129,78,2039,19,5,0,15644,13636,0,9339,9296,2143,220,904,884,3195,3193,0,0,0,0,0,0,0,0,0,47875,45249,0,36693
4600022167,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1560,115,1443,18,12,0,11503,10075,0,4579,4558,4077,2684,806,799,2024,2023,0,0,0,0,0,0,0,0,0,29410,28155,0,22215
4600022162,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1310,85,1225,15,5,0,11691,10865,0,7492,7442,2046,1279,479,476,1573,1569,0,0,0,0,0,0,0,0,0,25855,24578,0,19711
4600021906,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,861,125,734,9,5,0,7357,6728,0,5497,5479,833,224,147,146,876,876,0,0,0,0,0,0,0,0,0,10340,9814,0,7071
4600054768,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600054770,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1455,65,1386,9,5,0,14713,13149,0,9683,9598,2479,1092,755,728,1704,1695,0,0,0,0,0,0,0,0,0,40660,38451,0,33243
4600021912,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,2847,376,2470,39,13,0,23283,22071,0,17437,17390,1676,544,1108,1082,3011,3010,0,0,0,0,0,0,0,0,0,39239,37250,0,28050
4600022161,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,904,108,795,13,6,0,7428,6977,0,5417,5408,832,399,206,206,953,953,0,0,0,0,0,0,0,0,0,11190,10659,0,7692
4600054769,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600022164,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1784,226,1555,20,6,0,14322,13469,0,10353,10336,1413,585,482,476,2055,2055,0,0,0,0,0,0,0,0,0,25772,24636,0,18745
4600021919,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1841,150,1689,23,9,0,11709,10288,0,6343,6331,2307,919,723,711,2205,2201,0,0,0,0,0,0,0,0,0,39704,38090,0,31734
4600021914,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1825,134,1690,27,10,0,13138,12004,0,9008,8964,1414,413,658,611,1986,1985,0,0,0,0,0,0,0,0,0,28190,26654,0,20534
4600021913,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,2134,132,1999,27,7,0,11035,9705,0,6064,6024,1934,664,698,695,2275,2262,0,0,0,0,0,0,0,0,0,37817,35874,0,29081
4600022160,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1050,100,951,14,1,0,8653,8000,0,6365,6328,811,202,327,324,1131,1131,0,0,0,0,0,0,0,0,0,15959,15227,0,11579
4600054772,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4600054774,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021905,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,2521,78,2434,16,10,0,15546,13522,0,8287,8241,2098,194,1047,1002,4043,4041,0,0,0,0,0,0,0,0,0,48586,44639,0,33904
4600054770,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021906,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,956,124,830,12,4,0,7549,6844,0,4983,4967,877,191,562,560,1120,1120,0,0,0,0,0,0,0,0,0,10674,10055,0,6792
4600054768,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,2589,165,2420,29,10,0,14779,13464,0,8759,8695,1741,537,844,822,3377,3375,0,0,0,0,0,0,0,0,0,38533,36581,0,26863
4600022162,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,1440,67,1370,10,5,0,12572,11711,0,7717,7682,2030,1251,751,709,1985,1984,0,0,0,0,0,0,0,0,0,23771,22281,0,16451
4600022167,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,1583,132,1447,16,3,0,11224,9840,0,4463,4431,4031,2685,518,517,2196,2196,0,0,0,0,0,0,0,0,0,26397,25261,0,18714
4600021908,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,2435,102,2324,26,6,0,13379,11577,0,7981,7923,1895,160,917,911,2538,2538,0,0,0,0,0,0,0,0,0,41272,39024,0,31221
4600021915,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,2322,360,1955,28,6,0,12605,11388,0,8219,8178,1623,478,361,359,2353,2353,0,0,0,0,0,0,0,0,0,19946,18754,0,11933
4600021916,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,1482,241,1239,22,3,0,8651,7770,0,5866,5840,980,176,461,422,1330,1328,0,0,0,0,0,0,0,0,0,12102,11364,0,7273
4600021917,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,1895,198,1695,21,12,0,12338,11364,0,8147,8122,1291,350,530,525,2343,2343,0,0,0,0,0,0,0,0,0,30105,28844,0,22391
4600021918,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,1899,230,1668,20,9,0,13064,12293,0,8522,8485,1023,297,838,833,2665,2662,0,0,0,0,0,0,0,0,0,30893,29229,0,21869
4600054771,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,1835,91,1743,19,4,0,14341,12732,0,8542,8473,2581,1076,770,763,2390,2382,0,0,0,0,0,0,0,0,0,36646,34695,0,27855
4600022161,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,946,124,820,10,4,0,6869,6395,0,4672,4653,865,423,219,212,1094,1094,0,0,0,0,0,0,0,0,0,10723,10167,0,7031
4600021912,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,2798,321,2477,39,22,0,22737,21481,0,16599,16532,1698,538,1272,1264,3133,3126,0,0,0,0,0,0,0,0,0,35949,34097,0,24749
4600054769,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600022164,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,1925,275,1650,19,8,0,14935,14112,0,10323,10289,1319,590,734,722,2498,2497,0,0,0,0,0,0,0,0,0,26146,24979,0,17887
4600021919,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,2221,196,2028,30,8,0,12604,11209,0,6469,6298,2123,905,888,888,2970,2970,0,0,0,0,0,0,0,0,0,37658,35937,0,28175
4600021914,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,1969,172,1796,33,11,0,13330,12255,0,8577,8538,1423,416,761,749,2530,2527,0,0,0,0,0,0,0,0,0,26810,25329,0,18115
4600022160,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,944,77,866,13,3,0,8452,7817,0,6247,6213,805,212,256,252,1122,1122,0,0,0,0,0,0,0,0,0,14406,13729,0,10080
4600021913,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,2326,140,2183,22,8,0,11593,10240,0,5920,5897,1974,666,837,826,2790,2787,0,0,0,0,0,0,0,0,0,35208,33401,0,25564
4600054772,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600054774,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600022167,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,4399,256,4147,41,9,0,23642,19550,0,4037,3986,11848,7838,1577,1567,6145,6141,0,0,0,0,0,0,0,0,0,19821,17981,0,0
4600021908,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,6079,208,5859,56,8,0,26275,20583,0,9884,9786,5841,412,3066,3005,7324,7311,0,0,0,0,0,0,0,0,0,24440,21086,0,0
4600021915,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,5008,458,4550,46,11,0,21191,17271,0,6887,6825,4973,1325,2358,2251,6841,6841,0,0,0,0,0,0,0,0,0,19905,18012,0,0
