OBJECTID,DATE,PERIOD,PERLEN,EXCHID,NLASUBREG,NLASUBATTACH,NLAMTPAGATT,NLASUBREGINTROAM,NLAPAGREQ,NLASUCCPAGREQ,NSIMSUBATTACH,NUSIMSUBATTACH,NLASUBREGNAT,NLASUBREGATTNAT
4600021917,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,34049,32756,0,72,585,555,1289,3,0,0
4600021915,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,20773,19618,0,8,831,760,833,11,0,0
4600021918,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,33498,32029,0,15,535,481,1676,3,0,0
4600021916,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,12274,11517,0,5,475,423,455,12,0,0
4600021908,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,41957,39927,0,12,918,891,1084,3149,0,0
4600054771,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,41666,39963,0,39,866,821,1638,7,0,0
4600021905,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,47876,45250,0,24,776,754,1838,3823,0,0
4600022167,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,29414,28159,0,23,590,563,2718,1,0,0
4600022162,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,25855,24578,0,15,564,533,1044,3,0,0
4600021906,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,10343,9817,0,3,338,304,394,17,0,0
4600054768,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600054770,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,40656,38447,0,66,563,548,937,10,0,0
4600021912,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,39246,37257,0,7,1103,1013,1268,29,0,0
4600022161,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,11190,10659,0,2,348,327,300,3,0,0
4600054769,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600022164,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,25771,24635,0,8,635,596,1249,2,0,0
4600021919,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,39706,38092,0,12,663,620,1370,2,0,0
4600021914,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,28191,26655,0,13,707,681,1336,13,0,0
4600021913,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,37812,35869,0,19,867,835,2226,0,0,0
4600022160,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,15960,15228,0,0,416,389,603,4,0,0
4600054772,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,1,0,0,0,0,0,0,0,0,0
4600054774,20190209,1800-1900,60,XUCGS1*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600021905,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,48583,44635,0,18,898,879,2194,4035,0,0
4600054770,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600021906,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,10672,10053,0,3,397,366,493,15,0,0
4600054768,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,38536,36584,0,3,1114,1061,1984,13,0,0
4600022162,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,23771,22281,0,11,555,545,1223,3,0,0
4600022167,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,26400,25264,0,8,674,636,2938,0,0,0
4600021908,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,41275,39027,0,9,981,964,1321,2892,0,0
4600021915,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,19943,18751,0,3,887,802,852,22,0,0
4600021916,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,12100,11362,0,1,594,541,554,13,0,0
4600021917,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,30105,28844,0,15,743,685,1350,3,0,0
4600021918,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,30893,29229,0,11,650,595,2031,0,0,0
4600054771,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0
