EXCHID,注册用户数,开机用户数,开机用户比,EPC用户数,寻呼次数,寻呼成功次数,寻呼成功率
XUCGS1*79C/KD/03/03    ,536238,510456,95.19206024190751,406997,30513,27900,91.43643692852227
XUCGS2*79C/KD/03/03    ,505824,478364,94.57123426330108,356867,34086,31330,91.91456903127384
XUCGS6,666057,632235,94.92205622041357,486901,42838,39308,91.75965264484803
XUCGS7*79C/KD/03/03    ,354397,314459,88.73071724647782,0,78334,74535,95.15025404039115
OBJECTID,EXCHID,注册用户数,开机用户数,开机用户比,EPC用户数,寻呼次数,寻呼成功次数,寻呼成功率
4600021904,XUCGS1*79C/KD/03/03    ,41666,39963,95.91273460375366,32100,2109,2002,94.92650545282125
4600021904,XUCGS2*79C/KD/03/03    ,38536,36584,94.93460660161927,26863,2589,2449,94.59250675936654
4600021904,XUCGS6,48224,45877,95.13312873258128,34906,2871,2752,95.85510275165447
4600021904,XUCGS7*79C/KD/03/03    ,28935,26148,90.36806635562468,0,6288,6072,96.56488549618321
4600021905,XUCGS1*79C/KD/03/03    ,47876,45250,94.51499707577909,36693,2129,2058,96.66510098637858
4600021905,XUCGS2*79C/KD/03/03    ,48583,44635,91.87370067719161,33904,2521,2450,97.1836572788576
4600021905,XUCGS6,63173,59475,94.14623335918826,47250,3053,2984,97.7399279397314
4600021905,XUCGS7*79C/KD/03/03    ,34682,29600,85.34686580935356,0,5854,5757,98.34301332422275
4600021906,XUCGS1*79C/KD/03/03    ,10343,9817,94.91443488349609,7071,861,743,86.29500580720094
4600021906,XUCGS2*79C/KD/03/03    ,10672,10053,94.19977511244377,6792,956,842,88.07531380753139
4600021906,XUCGS6,14051,13333,94.8900434132802,9300,1165,1024,87.8969957081545
4600021906,XUCGS7*79C/KD/03/03    ,9322,8452,90.66723878995924,0,2148,2008,93.48230912476723
4600021908,XUCGS1*79C/KD/03/03    ,41957,39927,95.16171318254403,33693,2117,2031,95.9376476145489
4600021908,XUCGS2*79C/KD/03/03    ,41275,39027,94.55360387643852,31221,2435,2350,96.50924024640656
4600021908,XUCGS6,55919,53092,94.94447325595952,43675,2964,2860,96.49122807017544
4600021908,XUCGS7*79C/KD/03/03    ,24439,21085,86.27603420761896,0,6079,5915,97.30218785984536
4600021911,XUCGS1*79C/KD/03/03    ,40656,38447,94.56660763478946,33243,1455,1395,95.87628865979381
4600021911,XUCGS2*79C/KD/03/03    ,36645,34694,94.67594487651795,27855,1835,1762,96.0217983651226
4600021911,XUCGS6,48697,46027,94.5171160441095,38168,2276,2176,95.60632688927943
4600021911,XUCGS7*79C/KD/03/03    ,21137,17846,84.430146189147,0,4369,4238,97.00160219729915
4600021912,XUCGS1*79C/KD/03/03    ,39246,37257,94.93196758905366,28050,2847,2509,88.12785388127854
4600021912,XUCGS2*79C/KD/03/03    ,35953,34101,94.84883041748951,24749,2798,2516,89.92137240886348
4600021912,XUCGS6,49717,47379,95.29738318884888,35667,3856,3382,87.70746887966806
4600021912,XUCGS7*79C/KD/03/03    ,25404,22650,89.15918752952291,0,5998,5550,92.53084361453818
4600021913,XUCGS1*79C/KD/03/03    ,37812,35869,94.86141965513593,29081,2134,2026,94.93908153701967
4600021913,XUCGS2*79C/KD/03/03    ,35208,33401,94.86764371733697,25564,2326,2205,94.79793637145313
4600021913,XUCGS6,47896,45690,95.39418740604644,36368,2793,2659,95.20229144289296
4600021913,XUCGS7*79C/KD/03/03    ,24540,21904,89.25835370823147,0,5760,5497,95.43402777777777
4600021914,XUCGS1*79C/KD/03/03    ,28191,26655,94.55145259125253,20534,1825,1717,94.08219178082192
4600021914,XUCGS2*79C/KD/03/03    ,26807,25326,94.47532360950498,18115,1969,1829,92.88979177247334
4600021914,XUCGS6,36472,34597,94.85906997148497,25931,2394,2189,91.43692564745196
4600021914,XUCGS7*79C/KD/03/03    ,21898,19535,89.20906018814505,0,4969,4747,95.53230026162205
4600021915,XUCGS1*79C/KD/03/03    ,20773,19618,94.43989794444711,13511,2168,1818,83.85608856088561
4600021915,XUCGS2*79C/KD/03/03    ,19943,18751,94.02296545153688,11933,2322,1983,85.40051679586563
4600021915,XUCGS6,26974,25464,94.40201675687699,16966,3114,2658,85.35645472061657
4600021915,XUCGS7*79C/KD/03/03    ,19904,18011,90.48934887459808,0,5008,4596,91.77316293929712
4600021916,XUCGS1*79C/KD/03/03    ,12274,11517,93.8324914453316,8158,1196,989,82.6923076923077
4600021916,XUCGS2*79C/KD/03/03    ,12100,11362,93.90082644628099,7273,1482,1261,85.08771929824562
4600021916,XUCGS6,16088,15097,93.84012928891099,10144,1844,1481,80.31453362255967
